OID_,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape_Length,shape_wkt
1,CRESTHILL ROAD,5,0, , , , , ,0,5,L175480 EB,L,175480,EB,0,CRESTHILL ROAD,DEAD END,PARSONS STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,22.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,5,5,1,0,0, ,1,1,0,0,32.000000000000000,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.020551840000000,108.513720870000000,33.075048272099998,0.000393444501656,"MULTILINESTRING ((-71.158462550999957 42.355951832000073, -71.158079148999946 42.356040158000042))"
2,ROCKVALE CIRCLE,5,0, , , , , ,0,5,L192855 EB,L,192855,EB,0,ROCKVALE CIRCLE,WASHINGTON STREET,CUL_DE_SAC,1,0,09271,1,7,2,0, ,0,0,0,0,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0,0,0,0,0,0, ,0,0,0,0,0.000000000000000,0,0,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.003647500000000,19.258804999999999,5.870095505220000,0.000064941598769,"MULTILINESTRING ((-71.104756153999972 42.306968744000073, -71.104699828999969 42.306936419000067))"
3,ALLSTON STREET,5,0, , , , , ,0,5,N2526 NB,N,2526,NB,55912,ALLSTON STREET,BRIGHTON AVENUE,WASHINGTON STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,24.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,0,6,2,0,0, ,1,1,0,0,35.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3936,2016,14,0.007610870000000,40.185386200000003,12.248530210300000,0.000117235209221,"MULTILINESTRING ((-71.137775700999953 42.348337367000056, -71.137716341999976 42.348438464000026))"
4,ROXBURY STREET,4,0, , , , , ,0,4,N1594 WB,N,1594,WB,53344,ROXBURY STREET,MALCOLM X BOULEVARD,ELMWOOD STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,40.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,0,10,2,25,0, ,1,1,0,0,60.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10525,2016,14,0.021365060000000,112.807495209999999,34.383793307399998,0.000411828008596,"MULTILINESTRING ((-71.091035958999953 42.330110995000041, -71.091441127999985 42.330037236000067))"
5,LONGWOOD AVENUE,4,0, , , , , ,0,4,N1524 EB,N,1524,EB,45539,LONGWOOD AVENUE,BROOKLINE TOWN LINE,SAINT ALPHONSUS STREET,1,5,09271,1,4,2,0,10-1,3,0,2,0,6,35.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,12,12,2,30,30, ,1,1,0,0,59.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,16533,2016,14,0.065817680000000,347.517336960000023,105.923496151999998,0.001166167668704,"MULTILINESTRING ((-71.108283803999939 42.339515637000034, -71.108250834999978 42.339495938000027, -71.107831213999987 42.339245220000066, -71.107282717999965 42.338917495000032))"
6,FOSTER STREET,5,0, , , , , ,0,5,N2519 NB,N,2519,NB,45457,FOSTER STREET,COMMONWEALTH AVENUE,SURREY STREET,1,6,09271,1,5,2,0,   4,3,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,2,0,0, ,1,1,0,0,40.000000000000000,1,2,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3960,2016,14,0.033080420000000,174.664596149999994,53.237875383199999,0.000504777203256,"MULTILINESTRING ((-71.159275566999952 42.340890176000073, -71.159173371999941 42.341065431000061, -71.159039940999946 42.341336247000072))"
7,HARVARD STREET,4,0, , , , , ,0,4,N1623 NB,N,1623,NB,57185,HARVARD STREET,CUMMINS HIGHWAY,BLUE HILL AVENUE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,3,3,2,0,0, ,1,1,0,0,32.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3970,2016,14,0.201379620000000,1063.284402920000048,324.089734190999991,0.003207828938274,
8,DUNCKLEE STREET,5,0, , , , , ,0,5,L180660 EB,L,180660,EB,0,DUNCKLEE STREET,HARRIET STREET,MADELINE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,24.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,6,6,2,0,0, ,1,1,0,0,36.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.088471920000000,467.131735079999999,142.382037615999991,0.001521549375933,"MULTILINESTRING ((-71.157182979999959 42.353384456000072, -71.15718876699998 42.353681005000055, -71.157158319999951 42.353769817000057, -71.157083793999959 42.353838806000056, -71.156729348999988 42.353975604000027, -71.156127380999976 42.354219697000076))"
9,WASHINGTON STREET,4,0, , , , , ,0,4,N1518 EB,N,1518,EB,57524,WASHINGTON STREET,NEWTON CITY LINE,BROOKLINE TOWN LINE,1,5,09271,1,4,2,0,10-1,3,0,2,0,5,36.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,10,10,2,30,30, ,1,1,0,0,36.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10661,2016,14,0.048162250000000,254.296656420000005,77.509775896099995,0.000785095910943,"MULTILINESTRING ((-71.146095892999938 42.345986168000024, -71.145862269999952 42.345754533000047, -71.145660663999934 42.345522649000031, -71.145559823999974 42.345413181000026))"
10,BELLFLOWER STREET,5,0, , , , , ,0,5,L146572 EB,L,146572,EB,0,BELLFLOWER STREET,DORCHESTER AVENUE,BOSTON STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,1,0,0, ,1,1,0,0,40.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.138416180000000,730.837451709999982,222.759700801999998,0.002626550564907,"MULTILINESTRING ((-71.059373023999967 42.324800038000035, -71.056842718999974 42.324095535000026))"
